unbalanced accuracy average,unbalanced recall average,unbalanced precision average,balanced accuracy average,balanced recall average,balanced precision average
0.9036214008012668,0.9134039801180901,0.9740340718040097,0.8519098546837536,0.8780246192466286,0.8968249701031876
0.9100059564456089,0.9166206729532628,0.9817191178017376,0.8625716160272076,0.8729616620052165,0.9177004310032796
0.8494264338426781,0.8415813030051796,0.9827060405373429,0.8344388275860872,0.78190816781165,0.9508851490013075
0.8210687057380887,0.8132779980039211,0.9497968446358205,0.8116741455774013,0.761370669494432,0.9074520889939124
0.7214333442554682,0.7029823312206037,0.8517670403634997,0.736369493264767,0.6404243457455036,0.8152121410530637
0.9093251729449904,0.9165141763113016,0.9777415776061069,0.8576662300579917,0.871054238680979,0.906222965657264
0.6425964524052648,0.6279462768106081,0.8589069614806836,0.6589093906971144,0.5845650874381505,0.7833065478002692
0.8382568355615603,0.8337989250675868,0.9812076811915198,0.8196944189590825,0.7751512306692473,0.9383643392628881
0.3003152770419402,0.2622844944120636,0.8749685557339705,0.429632073543612,0.2856319121501655,0.6450931084381714
0.9114017356865864,0.9202830013899613,0.9745406146962738,0.861017597204905,0.8842985730314837,0.8980829279024145
0.900032499115552,0.9293148680253361,0.9605997217052545,0.8013375961547287,0.9059361032404452,0.8311063485648233
0.8587451083786761,0.8588737350146965,0.9820098414769907,0.8354054754471244,0.8224971198899957,0.9396159187919532
0.8338030094770583,0.8235429058894946,0.9835182628657655,0.8162055792626958,0.7487859264431206,0.9564522173121988
0.9087844580117286,0.927415380703568,0.9724872885145226,0.8473065030545087,0.8988786415080161,0.8826862177149457
0.8974831948548257,0.9020926269421974,0.9793625927622499,0.8506565916689214,0.8503715812001258,0.9180640738104745
0.8531143703961621,0.8466612692601099,0.9839038172251561,0.830689412565474,0.7835678249853747,0.9523334681905765
0.7865629058991956,0.7717367421493132,0.974774741055383,0.7895264378331256,0.7070360991530424,0.9290052262969538
0.8653479172839037,0.9390730097034959,0.9322876926214171,0.6817662345552233,0.9281742609417506,0.7181947512089843
0.8833779883022095,0.8846630631734305,0.97887084914085,0.8456160260846373,0.8315573771755195,0.9232927961017705
0.543137203104517,0.508344982615522,0.8174669230690441,0.6170295928434916,0.45942374689994103,0.7740142556023667
0.8557477022050272,0.8798469506637354,0.9358176869801952,0.7575713291352225,0.8389452132720373,0.7928829705655497
0.789437079001173,0.7767954762297887,0.9843404420446312,0.7900947123493902,0.7215270303662634,0.9530874243657779
0.8990332284371505,0.9060993684233286,0.9793753532636557,0.8635759300641703,0.8848221781574159,0.9173521875493033
0.8503619535816204,0.8417223516001348,0.984715835200861,0.83030573375508,0.773563595977563,0.9527384519020883
0.8628038658035327,0.8619460865342512,0.9811901025967157,0.8530241149731477,0.8256014760289194,0.9453136445402404
0.8718986120909601,0.8682915295605845,0.9811097818646582,0.860441216664991,0.832809730913457,0.9501769670466439
0.7539740508382913,0.7370327034807295,0.9502011079940613,0.7700530289248531,0.6833864892575756,0.9167882540165406
0.864713499888853,0.8725045332545476,0.9758409936271593,0.8125803130229348,0.8223505264621902,0.8963180660545796
0.8420513102996197,0.8331742194896228,0.9887505083068057,0.8196530370252629,0.757148675857296,0.9583142458203315
0.7648856865702192,0.7727485344439201,0.9105380264325756,0.7096565368614858,0.7144441034253859,0.8007226836773808
0.8594054753458242,0.8556273116910996,0.9848991238611713,0.8380817417736293,0.804266364953618,0.9466036485892086
0.9055694168571193,0.9103747391506929,0.9841598855117065,0.8695980515597302,0.8777726886072476,0.9290169311290664
0.7905864142731301,0.7771040101043167,0.9374832377203732,0.7989583652943437,0.7271727401968522,0.8794369180764905
0.8965751129893628,0.9012326728987009,0.9767964156220381,0.853621493087001,0.8572986024519034,0.9140312378946297
0.6959580441369767,0.6719983875201202,0.8717164363182002,0.7351864977783117,0.6218631062292118,0.8444842014099426
0.8357854722108096,0.8412954007967263,0.9711732176151745,0.7735477824393745,0.7726143469203421,0.8961756920330535
0.8701964859000907,0.8672604414612058,0.9809559741590672,0.8397011158794002,0.8077440607801083,0.9379326786716201
0.8561346495518084,0.8921137559686019,0.9793100325112926,0.816722630656933,0.8553047778131716,0.9074113122542649
0.8516593707942491,0.8523176924699024,0.9733709593365507,0.820823944833787,0.8036932677670501,0.9120629386751016
0.8475330193434829,0.8480728629397623,0.9886178627189836,0.8333135210497251,0.7965537085106882,0.9565032740445252
0.8949567987497234,0.9003421422210032,0.9799802360361326,0.84710053484337,0.8497521690747979,0.9218738803898305
0.8592657415418605,0.8535218443013365,0.9840481867620593,0.8401570528102515,0.796917899850808,0.948544637676924
0.5644153637039128,0.5732340472217607,0.8160288811467943,0.535725265277576,0.5406880497562666,0.6281076754454699
0.7647197310835486,0.7697541028860914,0.9356658978570224,0.7383626095437903,0.7510675384433994,0.8258037688311378
0.8650614510907733,0.8601363687650735,0.9862785452621986,0.8500415299309992,0.8151105056957304,0.9541599350161191
0.8376139910768066,0.8284369132788548,0.9889687665534059,0.8155795005822397,0.7515249342900281,0.9588604610218964
0.9085144107037412,0.9231287305533458,0.9725597034406204,0.8388634088903885,0.8838272020431026,0.8783490702630864
0.8490225384199817,0.8437874188390115,0.9825168954583409,0.8264659159952003,0.7845730321398887,0.9377388662195816
0.8941183535602055,0.9139628056980849,0.9673195471410321,0.8158310592164303,0.8775715863084652,0.8664134320937996
0.6958046535845694,0.6794434639873522,0.9640606081840513,0.7347791033818726,0.6651141614604781,0.9099302930707858
